,name,artist,release_date,length,acousticness,danceability,instrumentalness,loudness,liveness,tempo,energy,speechiness,valence,time_signature,popularity
0,"Hey, Soul Sister",Train,2010,217.0,0.15755304715909085,0.67,0.169678918465909,-4.0,0.08,97.0,0.89,0.04,0.8,3.9829545454545454,83
1,Love The Way You Lie,Eminem,2010,263.0,0.15755304715909085,0.75,0.169678918465909,-5.0,0.52,87.0,0.93,0.23,0.64,3.9829545454545454,82
2,TiK ToK,Kesha,2010,200.0,0.07,0.76,6.47e-06,-3.0,0.29,120.0,0.84,0.14,0.71,4.0,80
3,Bad Romance,Lady Gaga,2010,295.0,0.15755304715909085,0.7000000000000001,0.169678918465909,-4.0,0.08,119.0,0.92,0.04,0.71,3.9829545454545454,79
4,Just the Way You Are,Bruno Mars,2010,221.0,0.15755304715909085,0.64,0.169678918465909,-5.0,0.09,109.0,0.84,0.04,0.43,3.9829545454545454,78
5,Baby,Justin Bieber,2010,214.0,0.15755304715909085,0.73,0.169678918465909,-5.0,0.11,65.0,0.86,0.14,0.54,3.9829545454545454,77
6,Dynamite,Taio Cruz,2010,203.0,0.985,0.75,0.888,-4.0,0.04,120.0,0.78,0.09,0.8200000000000001,5.0,77
7,Secrets,OneRepublic,2010,225.0,0.15755304715909085,0.52,0.169678918465909,-6.0,0.12,148.0,0.76,0.04,0.38,3.9829545454545454,77
8,Empire State of Mind (Part II) Broken Down,Alicia Keys,2010,216.0,0.15755304715909085,0.48,0.169678918465909,-8.0,0.12,93.0,0.37,0.03,0.14,3.9829545454545454,76
9,Only Girl (In The World),Rihanna,2010,235.0,0.000242,0.79,0.866,-4.0,0.07,126.0,0.72,0.04,0.61,4.0,73
10,Club Can't Handle Me (feat. David Guetta),Flo Rida,2010,235.0,0.0205,0.62,0.0,-4.0,0.06,128.0,0.87,0.03,0.47,4.0,73
11,Marry You,Bruno Mars,2010,230.0,0.15755304715909085,0.62,0.169678918465909,-5.0,0.1,145.0,0.8300000000000001,0.04,0.48,3.9829545454545454,73
12,Cooler Than Me - Single Mix,Mike Posner,2010,213.0,0.15755304715909085,0.77,0.169678918465909,-5.0,0.7000000000000001,130.0,0.8200000000000001,0.05,0.63,3.9829545454545454,73
13,Telephone,Lady Gaga,2010,221.0,0.15755304715909085,0.8300000000000001,0.169678918465909,-6.0,0.11,122.0,0.8300000000000001,0.04,0.71,3.9829545454545454,73
14,Like A G6,Far East Movement,2010,217.0,0.00589,0.44,0.0,-8.0,0.12,125.0,0.84,0.45,0.78,4.0,72
15,OMG (feat. will.i.am),Usher,2010,269.0,0.198,0.78,1.1400000000000001e-05,-6.0,0.36,130.0,0.75,0.03,0.33,4.0,72
