,name,artist,album,genre,release_date,length,acousticness,danceability,instrumentalness,loudness,liveness,tempo,energy,speechiness,valence,time_signature,popularity,popularity_2
0,"Hey, Soul Sister",Train,,neo mellow,2010,217,,67,,-4,8,97,89,4,80,,83,
1,Love The Way You Lie,Eminem,,detroit hip hop,2010,263,,75,,-5,52,87,93,23,64,,82,
2,TiK ToK,Kesha,"{'album_type': 'single', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/7DCObXvJ8lKBZxu6mko4tz'}, 'href': 'https://api.spotify.com/v1/artists/7DCObXvJ8lKBZxu6mko4tz', 'id': '7DCObXvJ8lKBZxu6mko4tz', 'name': 'Lawrence DJ', 'type': 'artist', 'uri': 'spotify:artist:7DCObXvJ8lKBZxu6mko4tz'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/4dMjfgOXwwzEpW2l0lQAEE'}, 'href': 'https://api.spotify.com/v1/albums/4dMjfgOXwwzEpW2l0lQAEE', 'id': '4dMjfgOXwwzEpW2l0lQAEE', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ed9a15386ce2552003c1f6ac', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02ed9a15386ce2552003c1f6ac', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851ed9a15386ce2552003c1f6ac', 'width': 64}], 'name': 'Tik Tok (Kesha Phapfed Up Remix) [Original]', 'release_date': '2020-03-04', 'release_date_precision': 'day', 'total_tracks': 1, 'type': 'album', 'uri': 'spotify:album:4dMjfgOXwwzEpW2l0lQAEE'}",dance pop,2010,200,0.07,76,6.47e-06,-3,29,120,84,14,71,4,80,7
3,Bad Romance,Lady Gaga,,dance pop,2010,295,,70,,-4,8,119,92,4,71,,79,
4,Just the Way You Are,Bruno Mars,,pop,2010,221,,64,,-5,9,109,84,4,43,,78,
5,Baby,Justin Bieber,,canadian pop,2010,214,,73,,-5,11,65,86,14,54,,77,
6,Dynamite,Taio Cruz,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/1U0g6WJ3v4gvpu3Heusiyr'}, 'href': 'https://api.spotify.com/v1/artists/1U0g6WJ3v4gvpu3Heusiyr', 'id': '1U0g6WJ3v4gvpu3Heusiyr', 'name': 'Russian Rap', 'type': 'artist', 'uri': 'spotify:artist:1U0g6WJ3v4gvpu3Heusiyr'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/031Itn8PM8SVeRJ5FOEiS0'}, 'href': 'https://api.spotify.com/v1/albums/031Itn8PM8SVeRJ5FOEiS0', 'id': '031Itn8PM8SVeRJ5FOEiS0', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273481a642effb4b82a9c337b54', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02481a642effb4b82a9c337b54', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851481a642effb4b82a9c337b54', 'width': 64}], 'name': 'Музыка 2020 новинки слушать', 'release_date': '2020-08-06', 'release_date_precision': 'day', 'total_tracks': 15, 'type': 'album', 'uri': 'spotify:album:031Itn8PM8SVeRJ5FOEiS0'}",dance pop,2010,203,0.985,75,0.888,-4,4,120,78,9,82,5,77,19
7,Secrets,OneRepublic,,dance pop,2010,225,,52,,-6,12,148,76,4,38,,77,
8,Empire State of Mind (Part II) Broken Down,Alicia Keys,,hip pop,2010,216,,48,,-8,12,93,37,3,14,,76,
9,Only Girl (In The World),Rihanna,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/5mrC59Uq8L2hDLY5stEv1g'}, 'href': 'https://api.spotify.com/v1/artists/5mrC59Uq8L2hDLY5stEv1g', 'id': '5mrC59Uq8L2hDLY5stEv1g', 'name': 'Electronaut', 'type': 'artist', 'uri': 'spotify:artist:5mrC59Uq8L2hDLY5stEv1g'}], 'available_markets': ['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA'], 'external_urls': {'spotify': 'https://open.spotify.com/album/39ZfEkFyT9KlMvq74vsmuK'}, 'href': 'https://api.spotify.com/v1/albums/39ZfEkFyT9KlMvq74vsmuK', 'id': '39ZfEkFyT9KlMvq74vsmuK', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27394688e58c3ea7ed58f733907', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0294688e58c3ea7ed58f733907', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485194688e58c3ea7ed58f733907', 'width': 64}], 'name': 'DJ Dance Tracks Inspired By Our Favorite Top 40 Hits', 'release_date': '2010-12-20', 'release_date_precision': 'day', 'total_tracks': 14, 'type': 'album', 'uri': 'spotify:album:39ZfEkFyT9KlMvq74vsmuK'}",barbadian pop,2010,235,0.000242,79,0.866,-4,7,126,72,4,61,4,73,2
